,Trajectory,Drug,Disease list,Disease Consensus Name List
682,161,Dalfampridine,"['M17', 'M66', 'M71', 'M93']","['gonarthrosis [arthrosis of knee]', 'spontaneous rupture of synovium and tendon', 'bursopathies', 'osteochondropathies']"
683,189,Levomenol,"['M45', 'E13', 'D35', 'I10', 'I12', 'I72', 'I77', 'K20', 'L98', 'N05', 'I13']","['ankylosing spondylitis', 'specified diabetes mellitus', 'benign neoplasm of endocrine glands', 'essential (primary) hypertension', 'hypertensive renal disease', 'aneurysm', 'disorders of arteries and arterioles', 'oesophagitis', 'disorders of skin and subcutaneous tissue', 'minor glomerular abnormality', 'hypertensive heart and renal disease']"
684,251,Gabapentin,"['M42', 'M47', 'M41', 'M43', 'M48']","['spinal osteochondrosis', 'spondylosis', 'scoliosis', 'deforming dorsopathies', 'spondylopathies']"
685,81,Naloxegol,"['F19', 'F90']","['mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'hyperkinetic disorders']"
686,457,Terbutaline,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
687,398,Alclometasone,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
688,157_240,Phentolamine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
689,238,Aminophenazone,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
690,332,Ketoprofen,"['K59', 'K56', 'K65']","['functional intestinal disorders', 'paralytic ileus and intestinal obstruction without hernia', 'peritonitis']"
691,266,Dexmedetomidine,"['N39', 'I95']","['disorders of urinary system', 'hypotension']"
692,238,Terfenadine,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
693,426,Nabiximols,"['M66', 'M75', 'M77']","['spontaneous rupture of synovium and tendon', 'shoulder lesions', 'enthesopathies']"
694,461,Dipivefrin,"['N41', 'D40', 'N42', 'C61', 'C64']","['inflammatory diseases of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs', 'disorders of prostate', 'malignant neoplasm of prostate', 'malignant neoplasm of kidney, except renal pelvis']"
695,131,Praziquantel,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
696,23,Pitavastatin,"['E88', 'F79', 'G25', 'G41', 'I47', 'J69', 'G40', 'J96']","['metabolic disorders', 'mental retardation', 'extrapyramidal and movement disorders', 'status epilepticus', 'paroxysmal tachycardia', 'pneumonitis due to solids and liquids', 'epilepsy', 'respiratory failure']"
697,13,Fostamatinib,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
698,133,Enprofylline,"['G40', 'G41', 'G81', 'J69', 'F70']","['epilepsy', 'status epilepticus', 'hemiplegia', 'pneumonitis due to solids and liquids', 'mild mental retardation']"
699,55,Nandrolone decanoate,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
700,198,Atosiban,"['G47', 'G25', 'E66', 'H66', 'K46']","['sleep disorders', 'extrapyramidal and movement disorders', 'obesity', 'chronic suppurative otitis media', 'abdominal hernia']"
701,257,Clobetasone,"['N03', 'A49', 'A69', 'E78', 'G46', 'H49', 'H81', 'I05', 'I66', 'I99', 'M15', 'F44', 'J03']","['chronic nephritic syndrome', 'bacterial infection of site', 'spirochaetal infections', 'disorders of lipoprotein metabolism and lipidaemias', 'vascular syndromes of brain in cerebrovascular diseases', 'paralytic strabismus', 'disorders of vestibular function', 'rheumatic mitral valve diseases', 'occlusion and stenosis of cerebral arteries', 'disorders of circulatory system', 'polyarthrosis', 'dissociative [conversion] disorders', 'acute tonsillitis']"
702,413,Hydromorphone,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
703,394,Apixaban,"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
704,77,Oxaliplatin,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
705,57,Acamprosate,"['E87', 'F10', 'F12', 'F17', 'F20', 'F60', 'F63']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of tobacco', 'schizophrenia', 'specific personality disorders', 'habit and impulse disorders']"
706,410,Paclitaxel,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
707,15_73,Levonorgestrel,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
708,323,Enalapril,"['K60', 'I84', 'D21']","['fissure and fistula of anal and rectal regions', 'haemorrhoids', 'benign neoplasms of connective and soft tissue']"
709,458,Tolterodine,"['M19', 'M25', 'M75']","['arthrosis', 'joint disorders', 'shoulder lesions']"
710,77,Foreskin fibroblast (neonatal),"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
711,157_240,Olsalazine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
712,408,Dopamine,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
713,57,Phenylephrine,"['E87', 'F10', 'F12', 'F17', 'F20', 'F60', 'F63']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of tobacco', 'schizophrenia', 'specific personality disorders', 'habit and impulse disorders']"
714,401,Bioallethrin,"['F09', 'J62', 'J44', 'J47', 'K20']","['organic or symptomatic mental disorder', 'pneumoconiosis due to dust containing silica', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'oesophagitis']"
715,25,Afatinib,"['F90', 'F91']","['hyperkinetic disorders', 'conduct disorders']"
716,389,Piroxicam,"['E10', 'E13', 'E16', 'H26', 'H33', 'H35', 'H36']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders', 'retinal disorders in diseases classified elsewhere']"
717,333_412,Technetium Tc-99m sestamibi,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
718,110,Ifenprodil,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
719,118,Interferon alfa-n1,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
720,414,Risperidone,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']"
721,398,Myrrh,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
722,451,Digoxin,"['I31', 'I20', 'I21']","['diseases of pericardium', 'angina pectoris', 'acute myocardial infarction']"
723,118,Dabrafenib,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
724,158,Protriptyline,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']"
725,448,Sulindac,"['F32', 'F33', 'F41', 'F43', 'F45']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders']"
726,397,Menadione,"['I48', 'A48', 'C76', 'H18', 'H61', 'I33', 'J30', 'K04']","['atrial fibrillation and flutter', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'disorders of cornea', 'disorders of external ear', 'acute and subacute endocarditis', 'vasomotor and allergic rhinitis', 'diseases of pulp and periapical tissues']"
727,366,Fludrocortisone,"['C91', 'C82', 'C83', 'C85', 'D72', 'D80']","['lymphoid leukaemia', ""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma"", 'disorders of white blood cells', 'immunodeficiency with antibody defects']"
728,215,Vandetanib,"['H40', 'H25', 'H26']","['glaucoma', 'senile cataract', 'cataract']"
729,382,Brimonidine,"['F32', 'G20', 'G35', 'F48', 'K02', 'N48']","['depressive episode', ""parkinson's disease"", 'multiple sclerosis', 'neurotic disorders', 'dental caries', 'disorders of penis']"
730,77,Piperaquine,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
731,348,Triflupromazine,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']"
732,110,Quetiapine,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
733,411,Bisoprolol,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
734,110,Acetyl sulfisoxazole,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
735,390,Fluorouracil,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
736,342,Methylscopolamine bromide,"['M81', 'M80', 'M85']","['osteoporosis without pathological fracture', 'osteoporosis with pathological fracture', 'disorders of bone density and structure']"
737,25,Temsirolimus,"['F90', 'F91']","['hyperkinetic disorders', 'conduct disorders']"
738,380,Ivacaftor,"['H26', 'H33']","['cataract', 'retinal detachments and breaks']"
739,446,Cyproheptadine,"['I73', 'I70', 'I74', 'I77']","['peripheral vascular diseases', 'atherosclerosis', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles']"
740,457,Nadolol,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
